Id,Class,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality,behavior
7604,-1,,73,21,94,-628,110,-518,6,0.329987,0.350636,0.002901,0.080527,0.025972,,0,506,2,39,0.097339,0.388011,0
5342,-1,,39,80,119,0,-249,-249,6,0.3628,0.389552,0.006124,0.048157,0.049823,,0,506,13,32,0.040049,0.241042,0
7602,-1,,17,13,30,-150,10,-140,7,0.316684,0.334457,7.5e-05,0.027852,0.021469,,0,506,2,19,0.338768,0.142756,1
7594,-1,,8,6,14,-61,-60,-121,7,0.295855,0.311332,8.9e-05,0.00868,0.007923,,0,506,13,93,0.138889,0.047984,0
708,-1,,7,24,31,12,-128,-116,7,0.294529,0.310384,0.00024,0.007487,0.011672,,0,506,13,44,0.035,0.035902,0
7601,-1,,16,11,27,-120,10,-110,7,0.311471,0.328665,6e-05,0.023402,0.017454,,0,506,2,19,0.350649,0.119018,0
7599,-1,,19,8,27,-110,0,-110,7,0.300964,0.318088,5.4e-05,0.023763,0.012179,,0,506,2,19,0.333992,0.122238,0
7598,-1,,19,12,31,-110,0,-110,7,0.319737,0.337602,0.000101,0.023527,0.022151,,0,506,2,19,0.311667,0.122238,1
7600,-1,,34,9,43,-119,15,-104,7,0.303082,0.318515,0.000847,0.042758,0.009334,,0,506,2,49,0.165546,0.207882,1
1159,-1,,4,18,22,6,-99,-93,6,0.322267,0.339641,0.000209,0.012349,0.018387,,0,506,14,19,0.119883,0.060189,0
7584,-1,,7,4,11,-42,-40,-82,7,0.304634,0.319169,0.000413,0.011518,0.008681,,0,506,13,65,0.452381,0.058857,0
7597,-1,,9,8,17,-90,10,-80,6,0.326195,0.34597,9.3e-05,0.016379,0.014659,,0,506,1,35,0.366667,0.080457,0
7586,-1,,6,3,9,-49,-18,-67,7,0.273883,0.285531,9.8e-05,0.006147,0.001859,,0,506,3,10,0.1,0.030924,0
1691,-1,,20,26,46,3,-66,-63,6,0.324107,0.342216,0.001181,0.026888,0.023938,,0,506,14,75,0.124777,0.134643,0
791,-1,,1,7,8,10,-70,-60,7,0.248392,0.258468,0.000174,0.000768,0.000814,,0,506,2,52,0.125,0.003526,-1
7593,-1,,7,2,9,-60,2,-58,6,0.305778,0.318308,2e-06,0.014347,0.007076,,0,506,7,64,0.47619,0.071737,0
7592,-1,,6,3,9,-60,2,-58,7,0.277556,0.289299,2.3e-05,0.009981,0.003191,,0,506,11,63,0.285714,0.052212,1
